sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_dome,illumination,1,4,1->4,6573,6288,153,113,41,6573,0.36283185840707965,0.006237638825498251,172.91348804417453,0.3525073746312684,0.36283185840707965,0.3008849557522124,0.36283185840707965,0.36283185840707965,0.36283185840707965,0.36283185840707965,0.36283185840707965,0.35590120000051684,0.4735268999975233,0.41033100000277045,1.2397591000008106
i_dome,illumination,1,5,1->5,6573,6419,142,95,40,6573,0.42105263157894735,0.006085501293169025,155.35380238833454,0.4175438596491228,0.42105263157894735,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.35590120000051684,0.30401850000271224,0.4221380999988469,1.082057800002076
i_dome,illumination,1,6,1->6,6573,7057,459,418,347,6573,0.8301435406698564,0.05279172371824129,32.49318678298066,0.8165869218500797,0.8301435406698564,0.7272727272727273,0.8205741626794258,0.8301435406698564,0.8349282296650717,0.8397129186602871,0.84688995215311,0.35590120000051684,0.2795716000000539,0.45603399999890826,1.091506799999479
i_duda,illumination,1,2,1->2,2095,1897,1425,1379,1353,2095,0.981145757795504,0.6458233890214797,1.3521447137996896,0.981145757795504,0.981145757795504,0.9637418419144308,0.977519941986947,0.981145757795504,0.9847715736040609,0.9891225525743292,0.990572878897752,0.22555130000182544,0.1945553999976255,0.04717999999775202,0.46728669999720296
i_duda,illumination,1,3,1->3,2095,1602,1053,1009,989,2095,0.9801783944499505,0.4720763723150358,1.6302787664655816,0.9772051536174429,0.9801783944499505,0.9504459861248761,0.9732408325074331,0.9801783944499505,0.981169474727453,0.9890981169474727,0.9890981169474727,0.22555130000182544,0.18767450000086683,0.04252689999702852,0.4557526999997208
i_duda,illumination,1,4,1->4,2095,1239,664,611,575,2095,0.9410801963993454,0.2744630071599045,3.1933634525724703,0.9416257501363884,0.9410801963993454,0.8936170212765957,0.9361702127659575,0.9410801963993454,0.955810147299509,0.9607201309328969,0.9623567921440261,0.22555130000182544,0.23235569999815198,0.03191589999914868,0.4898228999991261
i_duda,illumination,1,5,1->5,2095,969,450,402,374,2095,0.9303482587064676,0.1785202863961814,8.009336754704323,0.931592039800995,0.9303482587064676,0.8656716417910447,0.927860696517413,0.9303482587064676,0.9427860696517413,0.9601990049751243,0.9626865671641791,0.22555130000182544,0.19956770000135293,0.027937200000451412,0.4530562000036298
i_duda,illumination,1,6,1->6,2095,615,197,174,158,2095,0.9080459770114943,0.07541766109785203,16.028054241849063,0.9013409961685824,0.9080459770114943,0.8218390804597702,0.8850574712643678,0.9080459770114943,0.9137931034482759,0.9367816091954023,0.9425287356321839,0.22555130000182544,0.1614272999977402,0.02508049999960349,0.4120590999991691
i_fenis,illumination,1,2,1->2,1359,1457,406,395,383,1359,0.9696202531645569,0.28182487122884475,2.8472825381349978,0.9590717299578059,0.9696202531645569,0.8911392405063291,0.9544303797468354,0.9696202531645569,0.9772151898734177,0.979746835443038,0.9822784810126582,0.07630849999986822,0.09988630000225385,0.030300600003101863,0.20649540000522393
i_fenis,illumination,1,3,1->3,1359,1412,177,169,151,1359,0.893491124260355,0.1111111111111111,12.976975135639059,0.8816568047337278,0.893491124260355,0.8165680473372781,0.8757396449704142,0.893491124260355,0.893491124260355,0.9053254437869822,0.9053254437869822,0.07630849999986822,0.11956710000231396,0.025268400000641122,0.2211440000028233
